c	instance Type (null)
c
n	15
g	10
c	w1	w2	w3	w4	w5	w6	w7	w8	w9	w10	v1	v2	v3
i	14	0	14	7	14	7	14	0	7	0	7	0	0
i	17	1	12	17	0	13	4	13	12	20	9	12	11
i	3	2	10	19	8	0	9	7	8	0	13	16	7
i	11	8	4	15	12	17	6	8	9	7	20	8	3
i	8	18	14	18	11	2	2	13	13	16	2	6	10
i	2	3	11	0	17	4	10	20	17	6	13	7	20
i	9	5	16	14	13	7	6	20	19	14	18	4	6
i	16	8	4	9	7	3	13	10	5	12	12	8	18
i	16	8	4	9	7	3	13	10	5	12	12	7	17
i	9	10	12	6	7	8	5	15	9	11	10	16	5
i	14	20	17	14	13	12	11	4	4	20	17	11	18
i	14	17	15	1	12	7	11	19	16	18	5	12	0
i	13	20	14	8	17	7	15	3	2	8	6	10	1
i	6	10	15	7	16	4	16	20	19	16	18	0	1
i	14	13	20	4	16	15	4	9	15	13	14	17	8
c
c
W	83	72	91	74	85	55	70	86	80	87
c	end of file
