c	instance Type (null)
c
n	15
g	10
c	w1	w2	w3	w4	w5	w6	w7	w8	w9	w10	v1	v2	v3
i	14	0	14	7	14	7	14	0	7	0	7	0	0
i	6	11	1	6	10	2	14	2	1	9	19	1	0
i	15	14	1	10	19	12	0	19	19	11	4	7	19
i	15	13	9	20	17	1	11	13	13	12	3	12	7
i	17	7	3	7	0	12	12	2	2	5	12	16	20
i	9	10	19	7	3	11	17	7	4	13	20	15	6
i	10	6	17	15	14	7	6	20	19	14	18	5	6
i	13	5	1	6	4	0	10	7	2	9	9	5	15
i	13	5	1	6	4	0	10	7	2	9	9	4	14
i	5	6	7	1	3	3	0	10	4	7	5	11	0
i	13	19	16	13	12	11	10	3	3	19	16	9	16
i	8	11	9	16	6	1	5	13	10	12	20	6	15
i	12	20	13	7	16	7	14	2	2	7	5	9	1
i	20	4	9	1	9	19	9	13	13	9	12	15	15
i	18	17	3	8	20	19	8	13	19	17	18	0	12
c
c
W	94	74	62	65	76	56	70	66	60	77
c	end of file
