c	instance Type (null)
c
n	15
g	10
c	w1	w2	w3	w4	w5	w6	w7	w8	w9	w10	v1	v2	v3
i	0	7	0	14	0	14	0	7	14	7	14	7	7
i	8	13	3	8	12	4	16	4	3	11	0	2	2
i	1	0	9	18	6	20	8	6	6	19	11	14	6
i	20	17	13	3	0	5	15	17	18	16	8	17	12
i	12	2	18	1	16	6	7	17	18	0	7	11	15
i	2	4	12	1	18	4	10	0	18	6	13	8	0
i	11	7	18	16	15	9	7	1	20	15	19	6	7
i	12	3	0	5	3	20	9	6	1	8	8	4	14
i	12	3	0	4	3	20	9	5	1	8	8	3	13
i	7	8	10	3	5	6	3	13	6	9	8	13	3
i	6	12	9	6	6	5	3	18	17	12	9	3	10
i	5	7	5	13	2	18	1	9	6	8	16	2	11
i	0	7	1	16	4	16	2	11	11	16	14	18	10
i	0	4	9	2	10	20	10	14	13	10	13	16	16
i	16	15	1	6	18	17	6	11	17	14	16	19	10
c
c
W	56	55	54	58	59	92	53	70	85	80
c	end of file
