c	instance Type (null)
c
n	15
g	10
c	w1	w2	w3	w4	w5	w6	w7	w8	w9	w10	v1	v2	v3
i	0	7	0	14	0	14	0	7	14	7	14	7	7
i	0	5	16	0	4	17	8	17	16	3	13	15	15
i	13	12	0	9	18	10	20	18	18	10	2	5	18
i	16	14	10	0	18	2	12	14	14	13	5	14	8
i	4	15	10	14	8	19	20	9	10	13	20	3	7
i	13	15	2	11	8	15	0	11	8	17	3	19	10
i	2	19	9	7	6	0	20	13	11	6	11	18	20
i	11	2	19	3	1	18	7	4	20	6	6	2	12
i	10	2	19	3	1	18	7	4	20	6	6	1	11
i	11	12	14	7	9	10	7	17	10	13	12	17	7
i	7	13	10	7	7	6	4	19	18	13	10	4	11
i	9	12	10	17	7	2	6	14	11	13	0	7	16
i	13	0	14	8	17	8	15	3	3	8	6	10	2
i	1	5	10	3	11	0	11	15	14	11	14	16	17
i	13	12	18	2	14	14	3	8	14	11	12	15	7
c
c
W	62	73	81	53	65	77	70	87	101	75
c	end of file
