c	instance Type (null)
c
n	15
g	10
c	w1	w2	w3	w4	w5	w6	w7	w8	w9	w10	v1	v2	v3
i	7	14	7	0	7	0	7	14	0	14	0	14	14
i	1	6	16	0	5	17	8	17	16	4	14	16	16
i	2	1	10	19	7	0	9	7	7	20	12	15	7
i	9	6	2	13	10	15	4	6	7	5	18	6	1
i	19	8	4	8	2	13	13	3	4	6	14	18	0
i	0	2	10	20	16	2	8	19	16	4	11	6	18
i	4	0	11	9	8	2	1	15	14	9	13	20	1
i	3	15	12	17	15	11	0	17	13	20	20	16	5
i	3	15	12	16	15	11	0	17	13	20	20	15	4
i	4	5	6	0	2	3	0	10	3	6	4	10	0
i	20	4	1	19	19	18	17	10	10	5	1	16	2
i	14	17	15	2	12	7	11	19	16	18	5	12	0
i	20	7	0	16	3	15	1	10	10	16	14	18	9
i	10	14	19	11	20	8	20	3	2	20	1	4	5
i	19	18	3	8	20	20	9	14	19	17	18	0	13
c
c
W	68	66	64	79	81	71	54	91	75	92
c	end of file
