c	instance Type (null)
c
n	15
g	10
c	w1	w2	w3	w4	w5	w6	w7	w8	w9	w10	v1	v2	v3
i	7	14	7	0	7	0	7	14	0	14	0	14	14
i	18	2	12	18	1	13	5	13	12	0	10	12	12
i	19	17	5	14	2	16	4	2	2	15	7	10	2
i	7	5	1	12	9	14	2	5	5	4	16	4	20
i	15	4	0	4	19	9	9	20	0	2	10	14	17
i	6	7	15	4	0	8	14	3	0	10	17	11	3
i	0	17	7	5	4	19	17	11	9	4	8	16	17
i	13	4	1	5	3	0	10	6	2	9	8	4	14
i	13	4	0	5	3	0	9	6	2	9	8	4	14
i	6	7	8	2	4	5	2	12	5	8	6	12	2
i	20	5	2	20	20	18	17	10	10	5	2	17	3
i	17	20	17	4	14	10	13	0	19	0	8	15	2
i	16	3	17	12	20	11	18	6	6	12	10	14	5
i	0	4	9	1	10	19	10	14	13	10	12	15	16
i	17	16	2	7	19	18	7	12	18	15	17	20	11
c
c
W	87	65	52	57	68	80	72	67	52	59
c	end of file
