c	instance Type (null)
c
n	15
g	10
c	w1	w2	w3	w4	w5	w6	w7	w8	w9	w10	v1	v2	v3
i	7	14	7	0	7	0	7	14	0	14	0	14	14
i	20	4	14	19	3	15	7	15	14	2	12	14	14
i	0	20	7	16	5	18	6	4	5	17	10	13	4
i	8	5	1	13	10	14	3	5	6	5	17	5	0
i	17	6	2	6	0	11	11	1	2	4	12	16	19
i	3	4	13	1	18	5	11	1	19	7	14	9	0
i	12	9	19	18	17	10	9	2	1	17	0	8	9
i	8	20	17	1	19	16	5	1	18	4	4	20	9
i	8	20	16	0	19	16	5	1	18	4	4	20	9
i	5	6	7	1	3	4	1	11	4	7	5	11	1
i	20	5	2	20	19	18	17	10	10	5	2	17	2
i	16	18	16	3	13	9	12	20	17	20	7	13	1
i	8	16	9	3	12	3	10	19	19	3	1	5	18
i	15	20	4	17	4	14	4	8	8	4	7	10	10
i	18	17	3	8	20	19	8	13	19	16	17	0	12
c
c
W	83	92	69	63	85	86	58	63	80	65
c	end of file
