c	instance Type (null)
c
n	15
g	10
c	w1	w2	w3	w4	w5	w6	w7	w8	w9	w10	v1	v2	v3
i	14	0	14	7	14	7	14	0	7	0	7	0	0
i	4	9	20	4	8	0	12	0	20	7	17	20	19
i	12	11	20	8	17	10	19	17	17	9	1	4	17
i	14	12	8	19	16	0	10	12	12	11	3	12	6
i	15	5	1	5	19	10	10	0	0	3	10	14	18
i	12	13	1	10	6	14	20	9	6	16	2	17	9
i	18	14	4	2	1	16	15	8	6	1	6	13	15
i	18	9	6	11	9	5	15	11	7	14	14	10	20
i	18	9	6	10	9	5	15	11	7	14	14	9	19
i	6	7	8	2	4	4	1	11	5	8	6	12	1
i	13	19	16	13	12	11	10	3	3	19	16	10	17
i	10	12	10	18	7	2	6	14	11	13	0	7	16
i	0	7	1	16	3	15	1	10	10	16	14	18	9
i	5	9	14	7	15	3	15	19	18	15	18	20	0
i	17	17	2	7	19	18	7	13	18	16	17	20	11
c
c
W	88	77	66	70	80	60	85	69	74	81
c	end of file
