c	instance Type (null)
c
n	15
g	10
c	w1	w2	w3	w4	w5	w6	w7	w8	w9	w10	v1	v2	v3
i	0	7	0	14	0	14	0	7	14	7	14	7	7
i	19	3	14	19	2	15	6	15	14	1	11	13	13
i	11	10	18	6	15	8	17	15	16	7	0	3	15
i	15	13	9	20	17	1	11	13	13	12	4	13	7
i	2	13	8	12	6	17	18	7	8	11	18	1	5
i	16	17	5	14	10	18	3	13	11	20	6	1	13
i	10	6	17	16	15	8	7	0	20	15	19	6	7
i	15	6	3	8	6	2	12	9	4	11	11	7	17
i	15	6	3	8	6	2	12	8	4	11	11	6	16
i	12	13	15	8	10	11	8	18	11	14	13	18	8
i	8	13	10	8	7	6	5	19	19	14	11	4	11
i	11	13	11	19	8	3	7	15	12	14	1	8	17
i	0	8	2	17	4	16	2	11	11	17	15	19	10
i	6	11	16	8	16	5	16	20	20	16	19	1	1
i	12	11	18	2	14	13	2	7	13	10	12	15	6
c
c
W	76	75	75	90	68	70	63	89	95	90
c	end of file
