c	instance Type (null)
c
n	15
g	10
c	w1	w2	w3	w4	w5	w6	w7	w8	w9	w10	v1	v2	v3
i	14	0	14	7	14	7	14	0	7	0	7	0	0
i	0	5	16	0	4	17	8	17	16	3	13	16	15
i	8	7	15	3	12	5	14	12	12	4	18	0	12
i	12	10	6	17	14	19	8	10	10	9	1	10	5
i	11	1	18	1	15	6	6	17	17	20	6	10	14
i	17	19	6	16	12	19	4	15	12	0	7	2	14
i	13	10	20	19	18	11	10	3	2	18	1	9	10
i	7	19	16	20	18	15	4	0	17	3	2	19	8
i	7	19	15	20	18	15	4	0	17	3	2	19	8
i	7	9	10	4	6	6	3	13	7	10	8	14	3
i	13	19	16	13	13	12	10	4	3	20	16	10	17
i	12	15	12	20	10	5	8	16	14	16	3	10	18
i	17	3	18	12	0	11	18	6	6	12	10	14	5
i	16	20	4	18	5	14	5	9	8	5	8	10	11
i	16	15	0	5	17	17	6	11	16	14	15	18	10
c
c
W	85	86	93	88	88	90	61	67	82	69
c	end of file
