c	instance Type (null)
c
n	15
g	10
c	w1	w2	w3	w4	w5	w6	w7	w8	w9	w10	v1	v2	v3
i	7	14	7	0	7	0	7	14	0	14	0	14	14
i	14	19	8	14	18	9	1	9	8	17	6	8	8
i	14	13	0	9	19	11	20	18	19	10	3	6	18
i	5	3	20	10	7	12	1	3	3	2	14	3	18
i	11	0	17	0	15	5	5	16	17	19	6	10	13
i	11	12	0	9	6	13	19	9	6	15	1	17	8
i	16	12	2	1	0	14	13	6	5	0	4	12	13
i	1	14	10	15	13	9	19	16	11	18	18	14	3
i	1	14	10	15	13	9	19	16	11	18	18	13	2
i	8	9	10	4	6	7	4	14	7	10	8	14	3
i	0	5	2	20	20	19	18	11	11	6	2	17	3
i	19	1	20	6	17	12	16	3	0	2	10	17	5
i	12	20	14	8	16	7	14	2	2	8	6	10	1
i	11	15	20	12	0	9	0	4	3	0	2	5	6
i	16	15	0	5	17	17	6	11	16	14	15	18	10
c
c
W	73	83	70	64	87	77	81	76	60	77
c	end of file
