c	instance Type (null)
c
n	15
g	10
c	w1	w2	w3	w4	w5	w6	w7	w8	w9	w10	v1	v2	v3
i	7	14	7	0	7	0	7	14	0	14	0	14	14
i	4	9	19	4	8	20	12	20	20	7	17	19	19
i	2	1	10	19	7	0	9	7	7	20	12	15	7
i	1	19	15	6	2	7	17	19	20	19	10	19	14
i	1	11	7	11	5	16	16	6	7	9	17	0	3
i	4	5	13	2	19	6	12	1	19	8	15	9	1
i	16	12	2	0	20	14	12	6	4	20	3	11	12
i	5	17	13	18	16	12	1	19	14	1	0	17	6
i	4	17	13	18	16	12	1	19	14	0	0	17	5
i	13	14	15	9	11	11	9	18	12	15	13	19	8
i	1	7	4	1	0	20	19	12	12	7	4	19	4
i	4	7	5	12	2	18	1	9	6	8	16	2	11
i	13	0	14	8	17	8	15	3	3	8	6	11	2
i	17	0	5	19	6	16	6	10	9	6	9	12	12
i	12	11	17	1	13	13	2	7	12	10	11	14	5
c
c
W	52	72	80	64	75	87	70	85	80	76
c	end of file
