c	instance Type (null)
c
n	15
g	10
c	w1	w2	w3	w4	w5	w6	w7	w8	w9	w10	v1	v2	v3
i	0	7	0	14	0	14	0	7	14	7	14	7	7
i	6	11	1	6	10	2	14	2	1	9	19	0	0
i	20	19	7	16	4	17	6	4	4	17	9	12	4
i	19	16	12	3	0	5	14	16	17	16	7	16	11
i	10	0	16	20	14	4	5	15	16	19	5	9	13
i	5	6	15	3	20	7	13	3	0	9	16	11	2
i	19	15	5	3	2	17	16	9	8	3	7	14	16
i	17	8	5	10	7	4	14	10	6	13	13	8	18
i	17	8	4	9	7	4	14	10	6	13	13	8	18
i	8	9	11	4	6	7	4	14	7	10	9	14	4
i	7	12	9	7	6	5	4	18	18	13	10	3	10
i	6	8	6	14	3	20	2	10	7	10	18	3	12
i	8	16	9	4	12	3	10	19	19	4	2	6	18
i	5	10	15	7	15	4	15	19	19	15	18	0	0
i	15	14	0	5	17	16	5	11	16	14	15	18	9
c
c
W	81	80	58	63	62	65	68	84	79	86
c	end of file
