c	instance Type (null)
c
n	15
g	10
c	w1	w2	w3	w4	w5	w6	w7	w8	w9	w10	v1	v2	v3
i	14	0	14	7	14	7	14	0	7	0	7	0	0
i	8	13	3	8	12	4	16	4	3	11	0	3	2
i	17	16	3	12	1	14	2	0	1	14	6	9	0
i	16	14	10	0	18	2	11	14	14	13	4	13	8
i	19	9	5	9	2	14	14	4	4	7	14	18	1
i	6	8	16	5	1	8	14	4	1	10	17	12	4
i	1	19	8	7	6	20	19	12	11	6	10	18	19
i	9	0	17	1	20	16	6	2	18	5	4	0	10
i	9	0	17	1	20	16	5	2	18	5	4	0	10
i	4	5	6	0	2	2	20	9	3	6	4	10	20
i	12	18	15	12	12	11	9	3	2	19	15	9	16
i	7	10	7	15	5	0	3	11	9	11	19	5	14
i	3	11	5	20	7	19	5	14	14	20	18	1	13
i	15	19	3	17	4	14	4	8	7	4	7	9	10
i	19	18	4	9	0	20	9	14	20	17	19	1	13
c
c
W	80	80	67	62	62	84	76	51	66	74
c	end of file
