c	instance Type (null)
c
n	15
g	10
c	w1	w2	w3	w4	w5	w6	w7	w8	w9	w10	v1	v2	v3
i	7	14	7	0	7	0	7	14	0	14	0	14	14
i	8	13	2	8	12	3	16	3	3	11	0	2	2
i	7	6	14	2	12	4	13	11	12	3	17	20	11
i	2	0	17	7	4	9	19	0	0	20	12	0	16
i	5	15	11	15	9	20	20	10	11	13	0	4	7
i	19	0	8	18	14	0	6	17	14	2	9	4	16
i	20	16	6	4	4	18	17	10	9	4	8	15	17
i	16	7	4	8	6	3	13	9	5	12	11	7	17
i	16	7	3	8	6	3	13	9	5	12	11	7	17
i	11	12	13	7	9	10	7	17	10	13	11	17	6
i	0	6	3	0	0	20	18	12	11	6	3	18	4
i	2	5	2	10	0	16	19	6	4	6	14	0	9
i	17	4	18	12	0	12	19	7	7	12	10	14	6
i	6	11	16	8	16	5	16	20	20	16	19	1	1
i	13	12	19	3	15	14	3	8	14	11	13	16	7
c
c
W	75	64	72	55	57	69	103	77	63	78
c	end of file
