c	instance Type (null)
c
n	15
g	10
c	w1	w2	w3	w4	w5	w6	w7	w8	w9	w10	v1	v2	v3
i	14	0	14	7	14	7	14	0	7	0	7	0	0
i	19	3	14	19	2	15	6	15	14	1	11	14	13
i	5	4	13	1	10	3	12	10	10	2	15	18	10
i	12	9	5	16	13	18	7	9	10	8	0	9	4
i	10	20	16	20	13	4	4	15	15	18	4	8	12
i	20	0	9	18	14	1	7	18	15	3	10	5	17
i	1	18	8	6	5	20	19	12	10	5	9	17	19
i	12	3	20	4	2	20	9	5	1	8	7	3	13
i	12	3	20	4	2	20	8	5	0	8	7	3	13
i	8	10	11	5	7	7	4	14	8	10	9	15	4
i	14	20	17	14	13	12	11	4	4	20	17	10	17
i	13	16	13	0	11	6	9	17	15	17	4	11	20
i	4	12	5	20	8	20	6	15	15	20	18	2	14
i	0	5	10	2	10	20	10	14	14	10	13	16	16
i	15	14	0	5	17	16	5	10	16	13	15	18	9
c
c
W	80	69	88	71	71	95	66	82	77	72
c	end of file
