c	instance Type (null)
c
n	15
g	10
c	w1	w2	w3	w4	w5	w6	w7	w8	w9	w10	v1	v2	v3
i	0	7	0	14	0	14	0	7	14	7	14	7	7
i	12	17	6	12	16	8	20	7	7	15	4	6	6
i	6	5	14	2	11	3	13	11	11	3	16	19	11
i	0	19	15	5	2	7	17	19	19	18	10	19	14
i	16	6	1	5	20	10	11	0	1	4	11	15	19
i	18	19	7	16	12	20	5	15	13	1	8	3	15
i	15	11	1	20	20	13	12	5	4	20	3	10	12
i	3	15	11	16	14	11	0	17	12	20	19	15	4
i	3	15	11	16	14	10	20	17	12	20	19	15	4
i	5	6	8	2	3	4	1	11	4	7	6	11	1
i	6	12	9	6	5	4	3	17	17	12	9	3	10
i	2	5	2	10	0	16	19	6	4	6	14	0	9
i	4	11	5	20	8	19	6	15	14	20	18	1	13
i	10	14	19	12	20	9	20	3	2	20	2	5	5
i	18	17	2	7	19	19	8	13	18	16	17	20	12
c
c
W	59	90	56	82	82	84	78	82	76	95
c	end of file
