c	instance Type (null)
c
n	15
g	10
c	w1	w2	w3	w4	w5	w6	w7	w8	w9	w10	v1	v2	v3
i	14	0	14	7	14	7	14	0	7	0	7	0	0
i	16	20	10	15	19	11	2	11	10	18	7	10	9
i	1	0	8	17	5	19	7	5	5	18	11	14	5
i	10	7	3	15	12	16	5	7	8	7	19	7	2
i	6	16	12	16	10	0	0	11	11	14	0	4	8
i	4	6	14	3	20	6	12	2	20	8	15	10	2
i	17	14	3	2	1	15	14	7	6	1	5	13	14
i	0	12	9	14	12	8	18	15	10	17	17	13	2
i	0	12	9	13	12	8	18	14	10	17	17	12	1
i	10	11	13	7	8	9	6	16	10	12	11	16	6
i	14	20	17	14	14	12	11	4	4	20	17	11	18
i	16	18	16	3	13	8	12	20	17	19	6	13	1
i	0	8	1	16	4	16	2	11	11	16	15	19	10
i	11	16	0	13	0	10	0	4	4	0	3	6	6
i	13	13	19	3	15	14	3	9	14	12	13	16	7
c
c
W	66	87	74	79	80	80	62	68	74	90
c	end of file
