c	instance Type (null)
c
n	15
g	10
c	w1	w2	w3	w4	w5	w6	w7	w8	w9	w10	v1	v2	v3
i	14	0	14	7	14	7	14	0	7	0	7	0	0
i	14	18	8	13	17	9	0	9	8	16	5	8	7
i	19	18	6	15	3	17	5	3	3	16	8	11	3
i	9	7	3	14	11	16	4	7	7	6	18	6	1
i	4	14	10	14	8	19	19	9	9	12	19	2	6
i	7	8	17	5	2	9	15	5	2	11	18	13	4
i	5	1	12	10	9	3	1	16	14	9	13	0	1
i	5	17	14	19	16	13	2	19	15	1	1	17	7
i	5	17	13	18	16	13	2	19	15	1	1	17	6
i	11	12	14	8	9	10	7	17	11	13	12	17	7
i	14	20	17	14	14	13	11	5	4	0	17	11	18
i	17	19	17	4	14	10	13	0	19	0	8	14	2
i	9	16	10	4	13	4	11	20	20	4	2	6	19
i	17	0	5	18	6	15	6	10	9	6	8	11	12
i	13	12	18	2	14	14	3	8	13	11	12	15	7
c
c
W	82	90	89	83	83	86	57	74	78	53
c	end of file
