c	instance Type (null)
c
n	15
g	10
c	w1	w2	w3	w4	w5	w6	w7	w8	w9	w10	v1	v2	v3
i	7	14	7	0	7	0	7	14	0	14	0	14	14
i	12	17	6	12	16	7	20	7	7	15	4	6	6
i	12	10	19	7	16	9	18	16	16	8	0	3	16
i	4	2	19	9	6	11	0	2	2	1	14	2	17
i	9	19	15	19	13	3	3	14	15	17	4	8	11
i	14	15	3	12	8	16	1	11	9	18	4	20	11
i	4	0	10	9	8	1	0	14	13	8	12	20	0
i	6	18	15	20	18	14	3	0	16	2	2	19	8
i	6	18	15	19	18	14	3	20	16	2	2	18	7
i	9	10	11	5	7	8	5	15	8	11	9	15	4
i	0	6	3	0	20	19	18	11	11	6	3	18	3
i	0	2	0	8	18	13	17	4	1	3	11	18	6
i	0	8	1	16	4	16	2	11	11	16	14	18	10
i	16	0	5	18	5	15	5	9	9	5	8	11	11
i	15	14	20	4	16	16	5	10	15	13	14	17	9
c
c
W	57	77	75	79	90	81	54	79	75	70
c	end of file
