c	instance Type (null)
c
n	15
g	10
c	w1	w2	w3	w4	w5	w6	w7	w8	w9	w10	v1	v2	v3
i	0	7	0	14	0	14	0	7	14	7	14	7	7
i	10	15	4	10	14	6	18	5	5	13	2	4	4
i	4	3	11	20	8	1	10	8	9	0	14	17	8
i	0	18	14	4	1	6	16	18	19	17	9	18	13
i	14	4	20	3	18	8	9	19	20	2	9	13	17
i	20	1	9	19	15	2	8	18	15	4	11	5	18
i	2	20	9	8	7	0	20	13	12	7	11	19	20
i	7	20	16	0	19	15	4	1	17	3	3	20	9
i	7	20	16	0	19	15	4	1	17	3	3	19	8
i	6	7	9	3	4	5	2	12	5	8	7	12	2
i	6	12	9	6	6	4	3	17	17	12	9	3	10
i	3	6	4	11	1	17	0	8	5	7	15	1	10
i	12	20	13	7	16	7	14	2	2	7	6	10	1
i	15	20	4	17	5	14	4	8	8	4	7	10	10
i	17	16	1	6	18	18	7	12	18	15	16	20	11
c
c
W	62	95	70	64	76	66	60	75	92	55
c	end of file
