c	instance Type (null)
c
n	15
g	10
c	w1	w2	w3	w4	w5	w6	w7	w8	w9	w10	v1	v2	v3
i	0	7	0	14	0	14	0	7	14	7	14	7	7
i	4	9	20	4	8	0	12	0	20	7	17	19	19
i	18	17	4	13	1	15	3	1	2	14	7	10	1
i	18	16	12	2	20	4	13	16	16	15	6	15	10
i	8	19	14	18	12	2	3	13	14	17	3	7	11
i	8	9	17	6	2	10	16	5	2	12	19	13	5
i	6	3	13	12	11	4	3	17	16	11	15	2	3
i	1	13	10	14	12	9	19	15	11	18	17	13	2
i	1	13	9	14	12	9	19	15	11	18	17	13	2
i	9	10	12	5	7	8	5	15	8	11	10	15	5
i	7	13	10	7	6	5	4	18	18	13	10	4	10
i	7	10	7	15	5	0	3	11	9	11	19	5	14
i	17	4	18	12	0	12	19	7	7	12	10	14	6
i	11	15	20	13	0	10	0	4	3	0	3	5	6
i	14	14	20	4	16	15	4	10	15	13	14	17	8
c
c
W	65	86	93	77	56	59	62	77	83	90
c	end of file
