c	instance Type (null)
c
n	15
g	10
c	w1	w2	w3	w4	w5	w6	w7	w8	w9	w10	v1	v2	v3
i	0	7	0	14	0	14	0	7	14	7	14	7	7
i	14	19	8	14	18	10	1	9	9	17	6	8	8
i	8	7	16	4	13	6	15	13	13	5	18	0	13
i	1	20	16	6	3	8	18	20	20	19	11	20	14
i	18	8	3	7	1	12	13	2	3	6	13	17	0
i	15	17	4	13	10	17	2	13	10	19	5	0	12
i	7	3	14	12	11	5	4	18	16	11	15	2	4
i	19	10	6	11	9	6	16	12	8	15	14	10	20
i	19	10	6	11	9	6	15	12	8	15	14	10	20
i	4	5	7	1	2	3	0	10	3	6	5	10	0
i	6	12	8	6	5	4	3	17	17	12	9	2	9
i	1	4	1	9	19	15	18	5	3	5	13	20	7
i	16	3	17	11	20	11	18	6	6	11	9	14	5
i	5	9	14	6	15	3	15	18	18	14	17	20	20
i	18	18	3	8	20	19	8	14	19	17	18	0	12
c
c
W	76	76	62	67	78	70	73	88	84	90
c	end of file
