c	instance Type (null)
c
n	15
g	10
c	w1	w2	w3	w4	w5	w6	w7	w8	w9	w10	v1	v2	v3
i	14	0	14	7	14	7	14	0	7	0	7	0	0
i	12	16	6	11	16	7	19	7	6	14	4	6	5
i	17	16	3	12	1	14	2	0	1	14	6	9	0
i	8	6	2	13	10	15	3	6	6	5	17	5	0
i	2	12	8	12	6	17	17	7	7	10	17	0	4
i	10	11	20	8	4	12	18	7	4	14	0	15	7
i	13	9	20	18	17	11	10	3	2	17	1	8	10
i	10	1	19	2	0	18	7	3	20	6	6	1	11
i	10	1	18	2	0	18	7	3	20	6	5	1	11
i	12	13	15	9	10	11	8	18	12	14	13	18	8
i	15	0	18	15	14	13	12	5	5	0	18	11	18
i	18	0	18	5	16	11	14	1	20	1	9	16	4
i	17	4	18	12	0	12	19	7	7	13	11	15	6
i	1	6	11	3	11	0	11	15	15	11	14	17	17
i	12	11	17	1	13	13	2	7	12	10	11	14	6
c
c
W	86	53	104	65	66	90	82	45	72	68
c	end of file
