c	instance Type (null)
c
n	15
g	10
c	w1	w2	w3	w4	w5	w6	w7	w8	w9	w10	v1	v2	v3
i	0	7	0	14	0	14	0	7	14	7	14	7	7
i	2	7	18	2	6	19	10	19	18	5	15	17	17
i	15	14	2	11	20	13	1	20	20	12	4	7	20
i	17	15	11	1	19	3	13	15	15	14	5	15	9
i	6	17	12	16	10	0	1	11	12	15	1	5	9
i	10	12	20	9	5	12	19	8	5	15	1	16	8
i	15	11	1	20	19	12	11	4	3	19	2	10	11
i	6	18	14	19	17	14	3	20	16	2	1	18	7
i	6	18	14	19	17	14	2	20	15	2	1	18	7
i	10	11	13	6	8	9	6	16	9	12	11	16	6
i	7	13	10	7	7	5	4	18	18	13	10	4	11
i	8	11	8	16	6	1	4	12	10	12	20	6	15
i	4	12	5	0	8	20	6	15	15	0	19	2	14
i	16	0	5	18	5	15	5	9	9	5	8	11	11
i	14	13	19	3	15	15	4	9	14	12	13	16	8
c
c
W	68	90	76	81	81	83	45	102	97	73
c	end of file
