c	instance Type (null)
c
n	15
g	10
c	w1	w2	w3	w4	w5	w6	w7	w8	w9	w10	v1	v2	v3
i	7	14	7	0	7	0	7	14	0	14	0	14	14
i	10	15	4	10	14	5	18	5	5	13	2	4	4
i	9	8	17	5	14	7	16	14	14	6	19	1	14
i	3	1	18	8	5	10	20	1	1	0	13	1	17
i	7	17	13	17	11	1	1	12	13	15	2	6	9
i	16	18	5	15	11	19	4	14	11	0	7	1	14
i	12	8	19	17	16	10	9	2	0	16	20	7	9
i	11	2	20	4	1	19	8	4	0	7	7	2	12
i	11	2	19	3	1	19	8	4	0	7	7	2	12
i	10	11	12	6	8	9	6	16	9	12	10	16	5
i	0	6	3	0	0	19	18	11	11	6	3	18	4
i	1	3	1	9	19	15	18	5	2	5	13	19	7
i	9	16	10	4	12	3	10	19	19	4	2	6	18
i	1	5	10	2	11	20	11	15	14	11	13	16	17
i	14	13	20	4	16	15	4	9	15	12	13	17	8
c
c
W	61	70	89	52	73	86	79	73	57	64
c	end of file
