c	instance Type (null)
c
n	15
g	10
c	w1	w2	w3	w4	w5	w6	w7	w8	w9	w10	v1	v2	v3
i	14	0	14	7	14	7	14	0	7	0	7	0	0
i	2	7	18	2	6	19	10	19	18	5	15	18	17
i	10	9	17	5	15	7	16	14	15	7	20	2	14
i	13	11	7	18	15	20	9	11	11	10	2	11	5
i	13	3	20	3	17	8	8	19	19	1	8	12	16
i	14	16	3	13	9	17	2	12	9	19	5	20	12
i	5	1	12	11	10	3	2	16	15	10	14	1	2
i	2	14	11	16	13	10	20	16	12	19	19	14	3
i	2	14	10	15	13	10	20	16	12	19	19	14	3
i	7	8	9	3	5	5	2	12	6	9	7	13	2
i	13	19	16	13	13	12	10	3	3	19	16	10	17
i	11	13	11	19	8	4	7	15	12	15	2	8	17
i	8	16	9	3	12	3	10	19	19	3	1	5	18
i	10	15	20	12	20	9	20	3	3	20	2	5	5
i	17	16	1	6	18	18	7	12	17	15	16	19	11
c
c
W	71	81	89	73	94	76	79	94	89	86
c	end of file
