c	instance Type (null)
c
n	15
g	10
c	w1	w2	w3	w4	w5	w6	w7	w8	w9	w10	v1	v2	v3
i	7	14	7	0	7	0	7	14	0	14	0	14	14
i	6	11	0	6	10	1	14	1	1	9	19	0	0
i	5	3	12	0	9	2	11	9	9	1	14	17	9
i	2	20	16	6	3	8	18	20	0	19	11	20	15
i	3	13	9	13	7	18	18	8	9	11	19	2	5
i	1	2	11	20	16	3	9	20	17	5	12	7	19
i	7	4	14	13	12	5	4	18	17	12	16	3	4
i	0	12	8	13	11	8	18	14	10	17	16	12	1
i	0	12	8	13	11	8	17	14	9	17	16	12	1
i	12	13	14	8	10	10	8	17	11	14	12	18	7
i	1	6	3	0	0	20	18	12	12	7	3	18	4
i	3	6	3	11	1	17	20	7	5	7	15	1	10
i	5	12	6	0	9	20	6	15	15	0	19	2	14
i	12	16	0	13	1	10	1	5	4	0	3	6	7
i	12	11	18	2	14	13	2	8	13	11	12	15	6
c
c
W	38	78	65	59	61	72	86	91	66	72
c	end of file
