c	instance Type (null)
c
n	15
g	10
c	w1	w2	w3	w4	w5	w6	w7	w8	w9	w10	v1	v2	v3
i	7	14	7	0	7	0	7	14	0	14	0	14	14
i	16	0	10	16	20	11	3	11	10	19	8	10	10
i	16	15	3	12	0	14	2	0	0	13	5	8	0
i	6	4	0	11	8	13	1	4	4	3	15	3	19
i	13	2	19	2	17	7	7	18	19	0	8	12	15
i	8	10	18	7	3	10	16	6	3	12	20	14	6
i	8	4	15	13	12	6	5	19	18	12	17	3	5
i	18	9	5	10	8	5	15	11	6	14	13	9	19
i	18	9	5	10	8	5	14	11	6	14	13	9	19
i	7	8	9	3	5	6	3	13	6	9	7	13	2
i	20	5	2	20	20	19	17	11	10	5	2	17	3
i	18	0	18	5	16	11	14	1	20	1	9	16	4
i	4	12	5	20	8	20	6	15	15	20	18	1	14
i	5	10	15	7	15	4	15	19	19	15	18	0	0
i	16	15	1	6	18	17	6	12	17	15	16	19	10
c
c
W	90	59	66	71	83	74	66	83	77	83
c	end of file
