c	instance Type (null)
c
n	25
g	5
c	w1	w2	w3	w4	w5	v1	v2	v3
i	85	97	52	94	75	52	38	1
i	31	21	70	75	49	94	30	79
i	29	33	37	12	20	100	10	4
i	100	99	34	3	18	21	27	24
i	88	45	57	87	40	88	35	19
i	37	1	66	38	6	57	56	80
i	94	51	54	53	68	5	1	78
i	65	43	69	45	12	94	56	56
i	5	3	54	100	2	79	51	56
i	21	60	11	1	67	96	5	59
i	7	18	33	65	24	76	33	29
i	55	19	29	75	57	90	90	60
i	34	95	31	49	49	38	95	99
i	64	89	38	31	51	66	42	19
i	10	55	18	75	47	4	26	31
i	64	36	40	8	26	77	72	66
i	100	62	8	31	30	98	97	3
i	49	13	16	37	79	98	5	54
i	7	18	33	65	24	76	33	29
i	16	61	26	27	50	35	31	90
i	75	94	23	21	49	94	38	100
i	57	44	50	72	27	57	2	62
i	54	28	89	75	83	100	38	2
i	97	4	63	94	3	60	14	59
i	3	5	44	64	78	15	13	58
c
c
W	624	547	523	649	517
c	end of file
