c	instance Type (null)
c
n	25
g	5
c	w1	w2	w3	w4	w5	v1	v2	v3
i	45	57	12	54	35	12	98	61
i	34	24	20	78	52	44	33	29
i	2	6	57	32	93	20	30	24
i	1	100	35	4	19	22	28	25
i	67	71	36	66	19	67	61	98
i	51	62	80	99	20	18	17	94
i	26	30	86	85	100	37	33	10
i	67	98	71	47	14	96	58	11
i	7	58	9	55	57	81	53	11
i	16	55	53	96	62	91	100	54
i	50	8	23	55	67	19	76	72
i	28	45	55	48	83	63	16	86
i	92	53	42	60	7	96	53	57
i	83	8	57	97	70	32	61	38
i	35	80	90	47	19	29	51	3
i	30	55	6	74	92	43	38	85
i	69	84	77	100	99	20	19	72
i	22	86	36	57	52	71	25	27
i	50	8	23	55	67	19	76	72
i	41	86	51	5	75	60	56	15
i	17	83	12	63	38	36	27	89
i	92	79	85	54	62	92	37	97
i	18	39	100	86	94	11	2	13
i	79	86	98	76	85	42	49	41
i	7	9	95	68	82	19	17	9
c
c
W	515	685	655	781	732
c	end of file
