c	instance Type (null)
c
n	25
g	5
c	w1	w2	w3	w4	w5	v1	v2	v3
i	80	92	47	89	70	47	33	96
i	90	80	29	34	8	53	89	38
i	51	55	6	81	42	69	79	73
i	59	58	93	62	77	80	39	83
i	14	71	83	13	66	14	61	45
i	98	9	27	46	67	18	17	41
i	81	38	41	93	8	92	88	65
i	12	43	69	45	12	41	3	56
i	77	28	79	25	27	51	76	81
i	44	83	34	24	90	19	28	82
i	42	100	15	47	6	58	68	11
i	56	20	83	76	58	91	44	14
i	65	26	15	33	80	69	26	30
i	34	6	55	48	21	83	12	89
i	5	50	60	17	89	99	21	73
i	95	67	71	39	57	8	3	97
i	65	27	73	96	42	63	62	68
i	14	78	28	2	44	63	70	19
i	42	100	15	47	6	58	68	11
i	83	28	93	94	17	2	98	57
i	12	31	7	58	33	31	75	37
i	92	79	85	54	62	92	37	97
i	95	16	77	63	71	88	79	90
i	100	7	66	97	6	63	17	62
i	67	16	55	75	89	79	77	69
c
c
W	737	604	653	679	574
c	end of file
