c	instance Type (null)
c
n	25
g	5
c	w1	w2	w3	w4	w5	v1	v2	v3
i	50	62	17	59	40	17	3	66
i	86	76	72	30	4	96	85	81
i	52	56	60	35	96	23	33	27
i	4	3	38	7	22	25	31	28
i	32	36	48	78	84	79	26	10
i	24	35	53	72	93	44	43	67
i	74	78	34	33	48	85	81	58
i	63	94	67	96	63	92	54	7
i	78	29	80	26	28	52	24	82
i	64	50	1	91	57	39	48	2
i	54	12	27	59	18	70	80	23
i	71	35	98	91	73	6	59	29
i	9	23	59	77	24	66	23	27
i	54	79	28	68	41	56	32	9
i	75	20	83	40	12	69	91	96
i	90	15	66	34	52	3	98	45
i	53	68	61	84	83	4	3	56
i	4	68	71	92	34	53	60	9
i	54	12	27	59	18	70	80	23
i	56	1	13	67	90	22	18	30
i	54	73	49	100	28	73	17	79
i	53	40	46	15	70	53	98	5
i	3	24	85	71	79	96	87	98
i	47	54	66	44	53	10	17	9
i	91	93	79	52	66	3	1	46
c
c
W	648	568	664	740	638
c	end of file
