c	instance Type (null)
c
n	25
g	5
c	w1	w2	w3	w4	w5	v1	v2	v3
i	20	32	87	29	10	87	73	36
i	29	19	15	73	47	39	28	24
i	6	10	61	36	97	77	34	28
i	96	48	83	99	14	17	76	73
i	97	1	66	96	49	97	91	28
i	50	14	79	51	72	70	69	93
i	14	71	74	26	41	25	21	98
i	14	45	18	94	14	43	5	58
i	79	30	81	27	29	53	25	83
i	31	70	68	11	77	6	15	69
i	13	24	39	18	30	82	39	35
i	86	3	13	6	41	21	74	44
i	6	67	56	21	21	10	67	71
i	27	99	48	41	14	76	5	82
i	98	43	53	10	82	92	14	66
i	85	10	61	29	100	98	93	40
i	94	9	2	25	24	92	44	97
i	94	11	61	82	24	43	50	99
i	13	71	86	18	30	82	39	35
i	76	21	86	40	10	95	91	50
i	96	15	44	42	70	15	59	21
i	14	1	7	76	31	14	6	66
i	58	32	93	79	87	4	42	6
i	94	1	13	44	100	10	64	56
i	68	17	56	76	90	27	25	70
c
c
W	679	382	675	575	602
c	end of file
