c	instance Type (null)
c
n	25
g	5
c	w1	w2	w3	w4	w5	v1	v2	v3
i	30	42	97	39	20	97	83	46
i	22	12	8	66	40	32	21	17
i	87	91	95	70	78	58	68	62
i	40	39	74	43	58	61	20	64
i	36	40	52	82	88	83	30	14
i	15	26	44	63	84	35	34	58
i	75	79	35	34	49	86	82	59
i	10	41	67	43	10	92	1	54
i	25	76	27	73	75	52	24	29
i	3	42	93	83	49	31	40	94
i	35	93	8	40	99	51	61	4
i	28	92	55	48	30	63	16	86
i	92	53	89	7	7	96	53	57
i	28	53	2	42	15	77	6	83
i	96	41	51	8	80	90	12	17
i	14	39	90	58	29	27	22	69
i	13	28	21	44	43	11	63	16
i	64	28	78	99	94	13	67	69
i	35	93	8	40	99	51	61	4
i	24	69	81	35	58	90	86	98
i	49	68	44	95	23	68	12	74
i	40	27	80	2	57	40	32	92
i	55	29	37	76	84	1	39	3
i	59	66	78	56	65	75	29	21
i	88	90	29	49	63	100	98	43
c
c
W	532	679	672	648	699
c	end of file
