c	instance Type (null)
c
n	25
g	5
c	w1	w2	w3	w4	w5	v1	v2	v3
i	100	12	67	9	90	67	53	16
i	54	44	93	98	72	17	53	2
i	16	20	24	99	7	87	97	91
i	23	22	57	26	41	44	50	47
i	10	67	79	9	62	10	57	41
i	7	18	36	55	76	27	26	50
i	80	37	40	92	54	91	87	64
i	65	96	69	98	65	94	56	9
i	30	81	32	78	80	4	76	34
i	52	91	42	32	98	27	36	90
i	61	19	34	66	25	77	87	30
i	99	63	26	19	1	34	87	57
i	35	96	85	3	50	39	96	100
i	60	32	81	74	47	9	38	15
i	84	29	39	96	68	78	100	5
i	71	43	94	15	33	84	26	73
i	5	20	13	36	35	3	2	8
i	7	71	21	42	84	56	10	59
i	61	19	34	66	25	77	87	30
i	15	60	25	26	49	34	30	89
i	17	36	12	63	91	36	80	42
i	5	92	98	67	75	5	50	10
i	90	11	72	11	66	36	74	38
i	88	42	54	85	94	51	5	97
i	17	19	58	78	92	29	27	72
c
c
W	576	570	643	672	740
c	end of file
