c	instance Type (null)
c
n	25
g	5
c	w1	w2	w3	w4	w5	v1	v2	v3
i	45	57	12	54	35	12	98	61
i	45	35	31	89	63	55	44	40
i	74	78	82	57	65	45	55	49
i	63	62	97	66	81	84	90	87
i	58	62	74	4	10	5	52	36
i	85	96	14	33	54	52	51	28
i	61	18	21	20	35	72	68	45
i	63	94	67	43	63	92	54	7
i	3	54	5	51	53	77	49	7
i	34	73	24	14	80	62	71	25
i	36	94	9	41	100	52	62	58
i	72	89	99	92	27	7	60	30
i	93	54	43	61	8	97	54	58
i	24	96	45	38	11	73	2	79
i	17	62	25	82	54	11	33	38
i	21	46	97	65	83	34	29	76
i	18	33	26	49	48	16	68	21
i	69	33	83	57	99	18	25	74
i	36	94	9	41	100	52	62	58
i	23	68	80	34	57	89	85	97
i	91	10	86	37	12	10	54	16
i	88	75	28	50	5	88	80	40
i	91	12	73	59	67	84	75	39
i	50	57	69	47	56	13	20	12
i	2	4	43	63	77	14	12	57
c
c
W	631	728	621	624	672
c	end of file
