c	instance Type (null)
c
n	25
g	5
c	w1	w2	w3	w4	w5	v1	v2	v3
i	5	17	72	14	95	72	58	21
i	6	96	45	50	24	16	5	54
i	19	23	74	49	10	90	47	41
i	26	25	60	29	44	47	53	50
i	75	79	44	74	27	75	69	6
i	80	44	9	81	2	100	99	76
i	28	85	88	40	2	39	35	12
i	61	92	18	94	61	90	52	5
i	1	52	3	49	51	28	100	5
i	100	39	37	27	46	75	84	38
i	12	70	85	17	29	81	38	34
i	42	6	69	62	44	77	30	100
i	52	66	2	20	67	9	13	17
i	31	56	5	45	18	80	9	86
i	24	69	32	89	61	18	40	45
i	31	3	54	75	93	44	86	33
i	89	4	97	20	19	87	86	92
i	89	53	3	77	19	38	45	94
i	12	70	85	17	29	81	38	34
i	77	22	87	41	11	96	92	51
i	7	73	2	53	28	26	17	79
i	66	53	59	28	83	66	11	18
i	75	96	57	96	51	21	59	23
i	3	10	22	53	62	19	73	65
i	1	3	42	62	76	13	11	56
c
c
W	506	603	576	631	526
c	end of file
