c	instance Type (null)
c
n	25
g	5
c	w1	w2	w3	w4	w5	v1	v2	v3
i	40	52	7	49	30	7	93	56
i	4	94	90	48	22	14	3	99
i	96	100	51	26	87	14	24	18
i	22	21	56	25	40	43	49	46
i	84	88	100	30	36	31	78	62
i	93	57	22	94	15	13	12	89
i	48	5	8	60	75	59	55	32
i	63	94	67	43	10	92	54	7
i	28	79	77	76	25	2	74	32
i	57	96	47	37	3	85	94	48
i	18	76	91	23	35	87	44	40
i	73	90	100	93	28	61	61	31
i	24	38	74	92	92	81	38	42
i	41	66	15	55	28	43	19	96
i	12	4	67	24	96	6	28	80
i	52	77	28	96	14	65	60	7
i	83	98	91	14	13	81	33	86
i	34	98	48	22	64	83	90	39
i	18	76	91	23	35	87	44	40
i	90	35	47	1	24	56	52	64
i	28	94	23	74	49	47	38	100
i	70	57	63	85	40	70	15	75
i	79	100	61	100	55	25	63	27
i	53	60	72	50	59	16	23	15
i	66	15	54	74	88	78	76	68
c
c
W	638	835	725	657	532
c	end of file
