c	instance Type (null)
c
n	25
g	5
c	w1	w2	w3	w4	w5	v1	v2	v3
i	90	2	57	99	80	57	43	6
i	72	62	11	16	90	35	71	20
i	7	64	15	90	51	78	88	82
i	41	40	75	44	59	62	68	65
i	62	19	31	61	14	62	9	93
i	76	40	5	77	98	96	95	72
i	54	11	67	66	81	18	14	91
i	65	96	69	45	12	94	56	56
i	80	31	29	28	77	54	26	84
i	98	37	88	78	44	73	82	36
i	25	83	98	30	42	94	51	47
i	1	18	28	21	56	89	89	59
i	50	11	100	18	65	54	11	15
i	47	19	68	61	34	96	25	2
i	68	13	76	33	5	62	84	89
i	33	5	56	77	95	46	88	35
i	35	97	43	66	65	33	32	38
i	84	1	51	72	14	33	40	89
i	25	83	98	30	42	94	51	47
i	49	94	59	60	83	68	64	23
i	91	57	86	37	12	10	1	63
i	75	62	15	37	92	75	67	27
i	66	40	48	87	95	12	50	14
i	94	1	60	91	100	57	11	56
i	92	94	80	53	67	4	2	94
c
c
W	740	540	707	689	737
c	end of file
