c	instance Type (null)
c
n	25
g	5
c	w1	w2	w3	w4	w5	v1	v2	v3
i	25	37	92	34	15	92	78	41
i	70	60	56	14	88	80	69	65
i	84	88	92	67	28	55	65	59
i	37	36	71	40	55	58	17	61
i	71	75	40	70	23	71	65	2
i	89	53	71	90	11	9	8	85
i	27	31	87	86	1	38	34	11
i	14	45	18	47	14	43	5	58
i	54	5	56	2	4	28	100	58
i	8	47	45	88	54	83	92	46
i	31	89	4	36	48	100	57	53
i	85	49	12	5	87	20	73	43
i	22	83	72	90	37	26	83	87
i	57	82	31	71	44	6	35	12
i	56	48	11	68	40	50	72	24
i	54	79	30	98	69	67	62	9
i	29	44	37	60	59	27	79	32
i	82	46	96	17	59	78	85	34
i	31	89	4	36	48	100	57	53
i	9	54	19	73	43	28	24	83
i	12	78	7	58	33	31	22	84
i	79	66	72	41	49	79	24	84
i	70	44	52	91	99	16	54	18
i	91	98	10	88	97	7	61	53
i	4	6	92	65	79	16	14	59
c
c
W	596	716	589	718	592
c	end of file
