c	instance Type (null)
c
n	25
g	5
c	w1	w2	w3	w4	w5	v1	v2	v3
i	30	42	97	39	20	97	83	46
i	11	1	97	55	29	21	10	6
i	15	19	70	45	6	33	43	37
i	78	77	12	81	96	99	5	2
i	45	49	14	44	97	45	39	76
i	81	92	10	29	50	1	47	24
i	87	44	47	99	14	51	47	24
i	14	45	71	47	14	43	5	58
i	29	80	31	77	79	3	28	33
i	85	24	22	65	31	60	69	23
i	49	7	22	54	13	18	75	71
i	84	48	11	4	86	19	72	42
i	91	52	41	6	6	95	52	56
i	40	12	61	54	27	89	18	95
i	61	6	69	26	98	55	77	82
i	23	48	99	67	85	36	31	78
i	64	79	72	95	94	62	14	67
i	17	81	31	52	94	13	20	69
i	49	7	22	54	13	18	75	71
i	42	87	52	6	76	61	57	16
i	75	94	70	21	96	94	38	100
i	44	31	37	59	14	44	89	49
i	82	56	64	3	58	28	66	30
i	88	95	7	85	94	4	58	50
i	93	42	81	54	68	5	3	95
c
c
W	689	609	605	611	679
c	end of file
