c	instance Type (null)
c
n	75
g	1
c	w1	v1	v2	v3
i	35	2	88	51
i	63	73	62	58
i	65	36	46	40
i	81	2	8	5
i	10	57	4	88
i	54	74	73	97
i	35	99	95	72
i	63	92	54	54
i	53	27	99	4
i	80	8	17	71
i	100	69	26	22
i	27	62	62	32
i	8	12	69	73
i	11	60	89	66
i	54	48	70	75
i	83	96	91	38
i	48	46	98	51
i	99	48	2	4
i	100	69	26	22
i	57	23	19	31
i	12	31	75	37
i	5	5	50	10
i	67	13	51	15
i	56	72	26	18
i	77	89	87	79
i	43	86	15	38
i	4	17	34	40
i	57	39	6	95
i	18	90	55	87
i	50	96	33	16
i	83	39	77	59
i	4	15	31	43
i	93	100	97	68
i	61	88	38	22
i	6	74	74	31
i	7	62	84	48
i	66	29	5	33
i	77	4	62	40
i	32	24	95	95
i	69	99	64	13
i	50	12	22	12
i	45	23	90	92
i	99	43	53	75
i	71	45	23	90
i	91	40	87	92
i	3	95	84	81
i	4	36	61	83
i	5	28	83	47
i	77	26	77	21
i	66	6	25	96
i	54	40	65	93
i	24	40	92	14
i	39	75	85	56
i	30	76	33	74
i	83	20	79	10
i	11	42	9	73
i	79	93	68	17
i	68	43	12	3
i	29	58	77	9
i	46	36	38	28
i	33	61	90	56
i	36	52	26	76
i	35	74	100	32
i	96	22	97	92
i	96	70	38	42
i	77	93	22	73
i	23	95	68	18
i	62	4	3	90
i	11	25	20	27
i	59	79	45	34
i	20	28	79	76
i	42	32	60	72
i	72	89	17	24
i	75	27	39	12
i	27	62	33	38
c
c
W	1876
c	end of file
