c	instance Type (null)
c
n	75
g	1
c	w1	v1	v2	v3
i	65	32	18	81
i	67	30	19	15
i	64	82	92	86
i	36	10	16	13
i	92	92	39	23
i	28	48	47	71
i	95	6	2	79
i	12	41	3	56
i	52	26	98	56
i	13	88	97	51
i	88	57	14	10
i	12	47	47	17
i	64	68	25	29
i	38	40	16	93
i	31	25	47	52
i	88	1	96	43
i	7	58	57	10
i	9	58	12	14
i	88	57	14	10
i	84	3	99	58
i	70	89	33	95
i	44	44	89	49
i	59	5	43	7
i	9	72	79	71
i	53	12	10	55
i	48	91	20	90
i	61	27	44	97
i	59	88	55	44
i	46	18	83	15
i	29	75	12	95
i	36	92	30	12
i	20	84	47	59
i	14	21	18	89
i	91	65	15	99
i	35	3	3	60
i	18	20	95	6
i	5	68	97	25
i	16	90	1	26
i	12	4	75	75
i	47	30	42	44
i	21	36	93	83
i	48	73	40	42
i	98	89	99	74
i	40	61	92	6
i	70	19	19	24
i	100	92	81	31
i	53	85	63	85
i	71	41	96	60
i	31	27	31	75
i	31	24	43	14
i	20	59	31	12
i	29	45	97	19
i	53	36	99	70
i	31	30	34	75
i	91	28	87	71
i	5	36	56	20
i	74	41	63	65
i	31	6	75	66
i	52	81	100	32
i	16	53	8	45
i	36	64	93	59
i	11	27	1	51
i	27	19	45	77
i	97	23	98	93
i	56	30	98	55
i	82	98	27	78
i	94	66	39	42
i	29	71	70	57
i	54	68	63	17
i	76	96	62	51
i	75	83	34	31
i	20	10	38	50
i	63	33	8	15
i	68	20	32	52
i	12	47	18	23
c
c
W	1785
c	end of file
