c	instance Type (null)
c
n	75
g	1
c	w1	v1	v2	v3
i	45	12	98	61
i	34	44	33	29
i	2	20	30	24
i	1	22	28	25
i	67	67	61	98
i	51	18	17	94
i	26	37	33	10
i	67	96	58	11
i	7	81	53	11
i	16	91	100	54
i	50	19	76	72
i	28	63	16	86
i	92	96	53	57
i	83	32	61	38
i	35	29	51	3
i	30	43	38	85
i	69	20	19	72
i	22	71	25	27
i	50	19	76	72
i	41	60	56	15
i	17	36	27	89
i	92	92	37	97
i	18	11	2	13
i	79	42	49	41
i	7	19	17	9
i	90	33	62	32
i	10	23	40	46
i	2	84	51	40
i	60	32	97	29
i	23	69	6	89
i	47	3	41	23
i	31	42	58	70
i	55	62	59	30
i	42	16	66	50
i	94	62	62	19
i	76	78	53	64
i	82	45	21	2
i	94	68	79	4
i	39	31	2	2
i	43	73	85	87
i	56	18	28	18
i	89	14	34	36
i	71	15	25	47
i	45	19	97	11
i	46	42	42	47
i	30	22	64	61
i	90	22	47	69
i	30	53	8	72
i	5	54	5	49
i	44	37	56	27
i	84	70	42	23
i	100	16	68	90
i	22	58	68	39
i	5	4	8	49
i	61	51	57	41
i	24	55	75	39
i	38	5	80	29
i	49	24	93	84
i	83	12	31	63
i	60	50	52	89
i	94	75	4	70
i	61	30	51	54
i	56	95	74	53
i	42	68	90	38
i	10	84	52	9
i	59	75	4	55
i	88	60	33	83
i	38	80	26	66
i	70	84	79	86
i	79	46	12	1
i	5	13	17	61
i	22	12	40	52
i	30	47	75	82
i	72	24	36	56
i	34	69	40	45
c
c
W	1805
c	end of file
