c	instance Type (null)
c
n	75
g	1
c	w1	v1	v2	v3
i	40	7	93	56
i	93	3	92	88
i	71	42	52	46
i	60	81	87	84
i	93	93	87	24
i	59	79	78	55
i	13	24	20	97
i	67	96	58	58
i	32	6	78	36
i	39	14	23	77
i	32	1	58	54
i	29	17	17	87
i	76	80	37	41
i	53	2	31	8
i	77	71	93	98
i	61	74	69	16
i	34	85	84	37
i	87	36	90	92
i	32	1	58	54
i	8	27	23	82
i	1	20	64	26
i	27	27	72	79
i	6	52	90	54
i	82	98	52	44
i	18	30	28	73
i	71	14	43	13
i	72	85	2	8
i	2	84	51	40
i	2	74	39	71
i	68	61	51	81
i	3	6	97	79
i	5	69	85	44
i	63	70	67	38
i	84	58	8	92
i	61	29	29	86
i	16	18	93	4
i	67	30	59	87
i	23	50	8	86
i	59	51	22	22
i	10	40	5	54
i	39	54	11	1
i	14	92	59	61
i	93	37	47	69
i	22	96	74	88
i	41	37	37	42
i	2	94	83	33
i	40	72	50	72
i	76	46	1	18
i	83	32	83	27
i	71	11	30	1
i	33	72	44	25
i	34	50	2	24
i	43	26	36	60
i	33	32	36	77
i	76	13	72	56
i	68	99	66	83
i	7	21	96	45
i	67	42	11	2
i	91	20	92	71
i	62	52	54	44
i	75	3	32	98
i	100	16	90	40
i	97	36	15	94
i	17	43	18	13
i	100	74	42	99
i	93	9	38	36
i	21	93	66	16
i	65	7	53	93
i	8	22	17	24
i	31	98	64	53
i	11	72	23	67
i	89	79	7	19
i	93	10	38	45
i	35	87	99	72
i	35	70	41	46
c
c
W	1831
c	end of file
