c	instance Type (null)
c
n	75
g	1
c	w1	v1	v2	v3
i	65	32	18	81
i	56	19	8	4
i	39	10	20	14
i	74	48	54	51
i	1	1	48	32
i	94	14	13	37
i	60	71	67	44
i	16	45	7	7
i	56	30	2	60
i	95	70	79	33
i	55	24	81	77
i	15	3	3	73
i	63	67	24	28
i	50	99	28	5
i	49	43	65	17
i	97	10	5	52
i	11	9	8	14
i	62	11	65	14
i	55	71	81	77
i	55	21	17	29
i	96	15	59	21
i	1	1	46	53
i	86	32	70	34
i	38	1	8	100
i	5	17	15	60
i	57	100	29	99
i	38	4	21	27
i	4	33	53	89
i	72	44	9	88
i	39	85	22	5
i	59	15	53	35
i	48	12	28	87
i	92	99	96	67
i	56	30	80	64
i	4	72	25	29
i	14	69	91	55
i	97	60	36	64
i	91	18	76	54
i	59	51	22	22
i	8	38	3	52
i	46	8	18	8
i	42	67	87	36
i	14	58	68	90
i	15	89	67	81
i	68	64	64	69
i	24	63	5	2
i	45	77	2	24
i	35	5	60	77
i	62	11	62	6
i	63	56	75	93
i	1	87	12	40
i	73	89	41	63
i	25	8	18	42
i	62	61	65	6
i	99	36	95	79
i	6	37	4	68
i	18	85	60	9
i	1	76	45	36
i	75	51	23	55
i	34	24	26	63
i	6	87	16	82
i	61	30	51	54
i	83	22	1	80
i	93	19	94	89
i	50	77	45	49
i	32	95	77	75
i	25	97	70	20
i	6	1	47	34
i	89	3	45	52
i	100	67	33	22
i	25	33	37	81
i	87	77	52	17
i	47	64	92	99
i	91	43	8	28
i	21	56	27	32
c
c
W	1828
c	end of file
