c	instance Type (null)
c
n	75
g	1
c	w1	v1	v2	v3
i	5	72	58	21
i	6	16	5	54
i	19	90	47	41
i	26	47	53	50
i	75	75	69	6
i	80	100	99	76
i	28	39	35	12
i	61	90	52	5
i	1	28	100	5
i	100	75	84	38
i	12	81	38	34
i	42	77	30	100
i	52	9	13	17
i	31	80	9	86
i	24	18	40	45
i	31	44	86	33
i	89	87	86	92
i	89	38	45	94
i	12	81	38	34
i	77	96	92	51
i	7	26	17	79
i	66	66	11	18
i	75	21	59	23
i	3	19	73	65
i	1	13	11	56
i	38	81	63	33
i	47	60	77	83
i	8	37	4	93
i	90	15	27	59
i	71	17	54	37
i	30	86	24	6
i	35	99	15	74
i	19	26	23	94
i	84	58	8	92
i	77	98	98	2
i	96	51	73	37
i	74	37	13	94
i	91	18	76	54
i	52	44	15	15
i	91	21	33	35
i	26	41	98	88
i	95	73	40	42
i	53	44	54	76
i	55	76	7	21
i	59	8	8	13
i	6	45	87	84
i	2	34	12	34
i	92	62	17	34
i	76	25	76	20
i	48	41	60	78
i	88	74	46	27
i	19	35	87	9
i	78	61	71	95
i	76	75	79	20
i	22	12	18	2
i	64	95	15	79
i	84	98	73	22
i	5	80	49	40
i	6	35	54	86
i	29	19	21	58
i	30	58	87	53
i	61	77	51	1
i	90	29	8	87
i	95	21	96	44
i	36	10	78	82
i	72	88	17	68
i	52	24	97	47
i	95	37	36	23
i	21	35	77	84
i	42	9	28	64
i	65	73	24	21
i	64	54	82	94
i	28	98	26	33
i	82	34	46	19
i	95	30	48	53
c
c
W	1913
c	end of file
