c	instance Type (null)
c
n	75
g	1
c	w1	v1	v2	v3
i	100	67	53	16
i	54	17	53	2
i	16	87	97	91
i	23	44	50	47
i	10	10	57	41
i	7	27	26	50
i	80	91	87	64
i	65	94	56	9
i	30	4	76	34
i	52	27	36	90
i	61	77	87	30
i	99	34	87	57
i	35	39	96	100
i	60	9	38	15
i	84	78	100	5
i	71	84	26	73
i	5	3	2	8
i	7	56	10	59
i	61	77	87	30
i	15	34	30	89
i	17	36	80	42
i	5	5	50	10
i	90	36	74	38
i	88	51	5	97
i	17	29	27	72
i	28	71	100	23
i	86	99	16	22
i	53	35	2	91
i	58	30	95	74
i	26	19	9	39
i	56	12	50	85
i	90	54	17	29
i	58	65	62	33
i	91	65	15	99
i	66	34	34	91
i	85	40	62	26
i	51	14	90	18
i	48	75	33	11
i	19	11	82	82
i	19	49	61	63
i	34	49	6	96
i	67	92	12	61
i	91	82	92	67
i	7	28	59	73
i	52	48	48	53
i	49	41	30	27
i	44	76	1	23
i	2	25	80	44
i	85	34	85	29
i	54	47	66	84
i	18	4	29	57
i	97	60	12	87
i	18	1	64	35
i	88	34	91	32
i	45	82	41	25
i	9	87	7	71
i	97	64	39	88
i	93	68	37	28
i	37	66	38	17
i	49	39	41	78
i	81	9	38	4
i	50	66	40	90
i	87	26	52	84
i	19	45	67	15
i	20	47	15	19
i	3	19	48	99
i	63	35	8	11
i	99	41	87	27
i	41	55	50	57
i	65	85	51	40
i	21	82	33	77
i	98	88	63	28
i	75	45	20	27
i	21	73	85	5
i	5	40	58	63
c
c
W	1885
c	end of file
