c	instance Type (null)
c
n	75
g	1
c	w1	v1	v2	v3
i	10	77	63	26
i	47	57	46	95
i	97	68	78	72
i	14	88	94	91
i	49	49	43	80
i	72	39	38	15
i	41	52	48	25
i	14	43	5	5
i	29	3	75	80
i	77	52	61	15
i	30	99	56	52
i	41	76	76	46
i	21	25	82	86
i	14	63	92	69
i	82	76	98	3
i	100	13	55	2
i	24	22	21	27
i	24	73	80	29
i	30	99	56	52
i	10	29	25	84
i	70	89	33	95
i	31	31	76	36
i	87	33	71	35
i	100	16	70	62
i	90	2	100	45
i	57	100	29	52
i	38	51	68	74
i	55	37	4	93
i	1	73	38	17
i	79	72	9	92
i	27	30	21	3
i	61	72	88	100
i	11	18	15	86
i	42	16	66	50
i	63	31	31	35
i	56	11	33	97
i	89	52	28	56
i	9	36	94	72
i	32	24	95	95
i	71	1	66	15
i	43	5	15	5
i	70	95	15	64
i	78	22	32	54
i	78	52	30	44
i	64	13	60	18
i	34	73	15	12
i	99	31	9	31
i	46	69	24	88
i	98	47	98	42
i	21	14	33	4
i	86	25	97	78
i	85	1	53	75
i	57	93	3	74
i	48	47	4	45
i	60	97	56	87
i	73	4	71	88
i	15	82	57	6
i	87	62	78	22
i	98	74	46	78
i	27	17	19	56
i	49	30	59	25
i	22	91	65	15
i	96	88	14	46
i	20	46	21	16
i	93	20	88	92
i	38	54	83	34
i	19	91	64	14
i	68	63	9	96
i	83	97	92	46
i	90	10	76	12
i	6	67	18	62
i	97	87	62	27
i	18	35	63	70
i	19	71	83	3
i	94	29	47	52
c
c
W	1987
c	end of file
