c	instance Type (null)
c
n	75
g	1
c	w1	v1	v2	v3
i	100	67	53	16
i	65	75	64	13
i	41	59	69	63
i	85	6	12	9
i	1	1	95	32
i	41	61	60	84
i	15	26	22	99
i	61	90	52	5
i	26	100	25	30
i	23	98	7	61
i	94	63	20	16
i	43	78	31	1
i	36	40	97	1
i	48	50	26	56
i	19	13	35	87
i	62	75	17	64
i	54	52	51	57
i	54	3	57	59
i	94	63	20	16
i	44	63	59	18
i	91	10	54	16
i	1	1	93	53
i	63	9	47	11
i	59	22	76	68
i	65	77	75	67
i	72	15	44	14
i	9	22	39	45
i	8	37	4	93
i	32	4	69	1
i	63	9	46	29
i	33	89	27	9
i	62	73	89	1
i	27	34	31	55
i	26	100	3	34
i	44	12	65	69
i	36	91	13	77
i	12	75	51	79
i	73	47	58	83
i	72	64	35	35
i	58	88	53	2
i	62	24	34	71
i	73	98	65	67
i	75	66	76	98
i	79	53	84	98
i	7	3	3	8
i	78	17	59	56
i	5	37	62	84
i	38	8	63	80
i	54	3	54	98
i	22	15	34	5
i	37	76	48	29
i	53	69	68	43
i	46	82	92	63
i	4	3	7	48
i	37	74	33	17
i	8	39	6	23
i	100	67	42	91
i	76	51	67	11
i	14	43	15	94
i	31	21	23	60
i	58	39	68	34
i	47	16	37	40
i	31	70	49	28
i	23	49	71	19
i	26	100	68	25
i	6	69	51	49
i	85	57	30	80
i	22	64	10	50
i	59	73	15	22
i	94	61	27	16
i	71	32	83	27
i	31	21	49	61
i	91	61	89	96
i	98	97	62	82
i	96	31	49	54
c
c
W	1825
c	end of file
