c	instance Type (null)
c
n	75
g	1
c	w1	v1	v2	v3
i	80	47	33	96
i	90	53	89	38
i	51	69	79	73
i	59	80	39	83
i	14	14	61	45
i	98	18	17	41
i	81	92	88	65
i	12	41	3	56
i	77	51	76	81
i	44	19	28	82
i	42	58	68	11
i	56	91	44	14
i	65	69	26	30
i	34	83	12	89
i	5	99	21	73
i	95	8	3	97
i	65	63	62	68
i	14	63	70	19
i	42	58	68	11
i	83	2	98	57
i	12	31	75	37
i	92	92	37	97
i	95	88	79	90
i	100	63	17	62
i	67	79	77	69
i	5	48	77	47
i	28	94	11	17
i	6	88	55	91
i	73	45	10	89
i	100	93	83	13
i	74	30	68	50
i	92	56	72	84
i	90	97	94	65
i	12	86	89	20
i	34	2	2	59
i	45	100	22	86
i	97	60	36	17
i	23	50	8	33
i	52	44	62	15
i	93	23	35	37
i	19	34	91	81
i	20	45	65	14
i	32	23	33	55
i	62	83	14	28
i	85	81	81	86
i	37	76	18	15
i	50	82	7	29
i	33	56	11	75
i	97	46	97	41
i	56	49	68	86
i	20	6	31	59
i	80	96	95	70
i	96	79	89	60
i	47	46	50	91
i	99	89	95	79
i	79	57	77	41
i	20	34	9	11
i	24	99	15	59
i	75	51	23	55
i	57	47	49	39
i	46	27	56	22
i	47	16	90	40
i	4	43	22	1
i	19	45	20	68
i	33	7	75	32
i	33	49	78	29
i	95	67	40	43
i	1	96	42	29
i	40	54	49	56
i	73	40	6	95
i	51	12	63	7
i	19	56	84	49
i	74	44	72	79
i	26	78	90	63
i	9	44	15	20
c
c
W	1978
c	end of file
