c	instance Type (null)
c
n	75
g	1
c	w1	v1	v2	v3
i	35	2	88	51
i	52	62	51	47
i	93	64	21	15
i	19	40	46	43
i	19	19	13	50
i	20	40	39	63
i	100	11	7	84
i	14	96	58	58
i	57	31	3	8
i	62	37	46	100
i	67	83	93	36
i	83	18	18	88
i	7	11	68	72
i	70	19	48	25
i	19	13	35	40
i	92	5	100	47
i	99	97	49	2
i	52	1	55	4
i	67	83	93	36
i	75	94	90	49
i	38	57	1	63
i	62	62	54	14
i	94	40	78	42
i	85	1	55	47
i	82	94	92	84
i	52	95	24	94
i	81	47	64	17
i	2	84	51	40
i	44	16	81	60
i	60	6	43	26
i	6	62	100	82
i	32	43	59	71
i	71	78	75	46
i	26	100	3	34
i	28	96	96	53
i	56	58	33	97
i	5	68	44	25
i	5	32	90	68
i	79	71	42	42
i	30	60	72	74
i	75	37	47	84
i	92	17	37	86
i	68	59	69	91
i	99	20	51	65
i	36	85	32	37
i	74	66	55	5
i	43	75	53	22
i	22	92	47	64
i	61	57	61	5
i	45	38	57	28
i	35	21	93	74
i	68	84	83	58
i	11	47	57	28
i	61	60	64	5
i	91	28	87	18
i	59	90	10	74
i	23	90	65	14
i	38	13	82	73
i	52	81	100	32
i	64	54	56	46
i	3	84	13	79
i	86	55	76	79
i	38	77	56	88
i	92	18	93	88
i	90	17	85	89
i	27	90	72	70
i	54	26	99	49
i	39	81	80	67
i	46	60	55	9
i	30	50	16	5
i	70	78	82	26
i	9	46	74	39
i	3	73	1	8
i	51	50	15	35
i	36	71	42	47
c
c
W	1916
c	end of file
