c	instance Type (null)
c
n	75
g	1
c	w1	v1	v2	v3
i	30	97	83	46
i	11	21	10	6
i	15	33	43	37
i	78	99	5	2
i	45	45	39	76
i	81	1	47	24
i	87	51	47	24
i	14	43	5	58
i	29	3	28	33
i	85	60	69	23
i	49	18	75	71
i	84	19	72	42
i	91	95	52	56
i	40	89	18	95
i	61	55	77	82
i	23	36	31	78
i	64	62	14	67
i	17	13	20	69
i	49	18	75	71
i	42	61	57	16
i	75	94	38	100
i	44	44	89	49
i	82	28	66	30
i	88	4	58	50
i	93	5	3	95
i	33	76	5	75
i	43	56	73	79
i	55	84	51	40
i	86	58	23	2
i	5	98	88	18
i	9	65	3	85
i	59	70	86	98
i	79	86	83	54
i	68	95	45	29
i	95	63	63	67
i	96	51	73	37
i	90	53	82	10
i	87	61	72	97
i	99	91	62	62
i	97	27	92	41
i	58	20	30	20
i	17	42	62	11
i	90	81	91	13
i	23	97	75	42
i	31	80	80	85
i	46	38	27	77
i	93	25	3	25
i	68	38	93	57
i	39	35	86	83
i	72	12	31	2
i	84	23	95	76
i	2	18	17	92
i	79	15	25	96
i	89	88	92	33
i	53	90	49	33
i	3	34	1	18
i	92	59	34	83
i	56	31	100	91
i	60	89	61	40
i	66	56	58	48
i	31	12	41	7
i	25	41	15	65
i	79	71	97	29
i	67	93	68	63
i	33	7	75	79
i	8	24	53	4
i	87	59	32	82
i	66	8	54	94
i	84	98	93	47
i	82	2	68	57
i	76	37	88	32
i	76	66	41	6
i	66	36	64	71
i	14	13	78	98
i	37	72	43	48
c
c
W	2165
c	end of file
