c	instance Type (null)
c
n	75
g	1
c	w1	v1	v2	v3
i	30	97	83	46
i	22	32	21	17
i	87	58	68	62
i	40	61	20	64
i	36	83	30	14
i	15	35	34	58
i	75	86	82	59
i	10	92	1	54
i	25	52	24	29
i	3	31	40	94
i	35	51	61	4
i	28	63	16	86
i	92	96	53	57
i	28	77	6	83
i	96	90	12	17
i	14	27	22	69
i	13	11	63	16
i	64	13	67	69
i	35	51	61	4
i	24	90	86	98
i	49	68	12	74
i	40	40	32	92
i	55	1	39	3
i	59	75	29	21
i	88	100	98	43
i	24	67	96	19
i	66	79	96	2
i	57	39	6	95
i	60	32	97	29
i	42	88	25	8
i	86	42	80	62
i	78	42	58	17
i	1	8	5	76
i	56	30	80	64
i	73	41	41	98
i	47	2	24	88
i	51	14	43	71
i	59	86	44	22
i	52	44	15	15
i	89	19	31	33
i	33	95	5	95
i	23	48	68	17
i	21	65	75	97
i	48	22	100	14
i	86	35	82	87
i	75	67	56	53
i	54	86	64	86
i	51	21	76	93
i	55	4	55	99
i	40	33	52	70
i	56	42	14	95
i	58	74	26	48
i	60	43	53	77
i	5	4	61	2
i	45	35	41	25
i	2	33	53	17
i	95	62	37	86
i	39	14	30	74
i	37	66	38	17
i	48	38	40	30
i	61	42	71	37
i	22	91	12	15
i	76	15	94	73
i	71	97	72	20
i	86	60	28	85
i	11	74	56	54
i	56	28	1	51
i	89	31	77	17
i	49	63	58	12
i	11	31	97	33
i	26	87	38	82
i	62	99	27	39
i	35	52	80	87
i	38	90	55	75
i	28	63	34	39
c
c
W	1778
c	end of file
