c	instance Type (null)
c
n	100
g	1
c	w1	v1	v2	v3
i	10	77	63	26
i	36	99	35	84
i	25	43	53	47
i	52	26	32	29
i	58	58	5	89
i	85	5	4	81
i	53	64	13	37
i	65	47	9	9
i	33	7	79	84
i	6	34	90	97
i	44	13	70	66
i	97	32	32	2
i	20	24	81	85
i	73	22	51	28
i	47	41	63	68
i	9	69	64	11
i	75	73	25	78
i	77	26	80	82
i	44	13	70	66
i	81	100	96	55
i	96	15	6	68
i	88	88	33	40
i	14	7	98	9
i	29	45	99	91
i	95	7	5	97
i	66	9	38	8
i	15	28	45	51
i	53	82	49	38
i	74	46	11	43
i	89	82	72	2
i	50	53	44	26
i	89	53	16	28
i	42	49	46	17
i	54	28	31	15
i	32	100	100	57
i	5	60	82	46
i	28	91	67	95
i	37	64	22	100
i	79	71	42	42
i	32	62	74	76
i	68	30	40	77
i	64	42	9	11
i	47	38	48	70
i	53	27	58	72
i	9	58	58	63
i	5	97	86	83
i	91	23	48	70
i	63	33	88	5
i	29	78	29	73
i	53	46	65	36
i	67	53	78	6
i	29	45	44	19
i	29	12	75	46
i	32	31	35	76
i	68	5	64	95
i	74	52	72	36
i	59	26	1	50
i	4	79	48	39
i	21	97	69	1
i	45	35	37	74
i	72	100	29	95
i	25	41	15	65
i	52	91	70	49
i	16	42	17	12
i	40	14	82	39
i	88	51	33	31
i	97	69	42	45
i	45	40	86	73
i	18	32	74	81
i	61	81	47	36
i	56	17	68	12
i	11	1	29	41
i	49	19	47	54
i	42	94	6	79
i	3	85	56	61
i	77	87	40	82
i	57	59	19	100
i	10	73	91	90
i	2	32	50	53
i	36	30	72	59
i	68	88	93	57
i	98	6	93	53
i	30	79	51	88
i	72	64	98	93
i	66	42	68	90
i	67	26	17	95
i	97	60	70	82
i	4	86	80	48
i	96	20	12	48
i	25	62	9	83
i	36	52	43	93
i	23	68	21	78
i	81	15	35	64
i	70	35	42	24
i	55	84	89	87
i	17	15	1	47
i	74	46	52	90
i	41	90	75	19
i	57	70	27	73
i	10	50	59	43
c
c
W	2456
c	end of file
