c	instance Type (null)
c
n	100
g	1
c	w1	v1	v2	v3
i	25	92	78	41
i	70	80	69	65
i	84	55	65	59
i	37	58	17	61
i	71	71	65	2
i	89	9	8	85
i	27	38	34	11
i	14	43	5	58
i	54	28	100	58
i	8	83	92	46
i	31	100	57	53
i	85	20	73	43
i	22	26	83	87
i	57	6	35	12
i	56	50	72	24
i	54	67	62	9
i	29	27	79	32
i	82	78	85	34
i	31	100	57	53
i	9	28	24	83
i	12	31	22	84
i	79	79	24	84
i	70	16	54	18
i	91	7	61	53
i	4	16	14	59
i	14	57	86	56
i	5	18	35	41
i	55	84	51	40
i	75	100	12	44
i	97	43	80	63
i	65	68	59	41
i	33	97	60	72
i	87	94	91	62
i	63	37	87	71
i	62	30	30	34
i	36	91	13	77
i	28	91	67	48
i	16	43	1	79
i	19	11	82	35
i	17	47	59	61
i	41	3	13	3
i	42	20	87	89
i	12	3	13	35
i	100	74	52	66
i	79	75	75	80
i	18	10	99	96
i	96	28	6	75
i	61	31	39	3
i	64	13	64	8
i	46	39	58	29
i	86	72	44	25
i	36	99	51	26
i	100	83	46	17
i	17	16	20	61
i	68	5	64	48
i	94	25	45	9
i	61	75	50	52
i	27	2	71	62
i	21	97	69	1
i	68	58	13	50
i	12	93	22	88
i	11	80	1	51
i	73	12	91	70
i	95	21	43	91
i	23	97	65	22
i	42	5	87	85
i	20	92	65	15
i	40	35	81	68
i	22	36	78	85
i	34	54	20	9
i	35	43	47	91
i	43	33	61	73
i	29	99	27	81
i	77	29	41	14
i	38	73	44	49
i	82	39	45	87
i	89	38	51	32
i	71	34	52	4
i	1	84	49	52
i	62	9	51	38
i	58	25	30	47
i	57	65	52	12
i	35	31	3	40
i	3	95	29	24
i	87	16	89	64
i	40	99	37	15
i	2	65	75	34
i	64	46	40	8
i	76	100	92	28
i	38	75	22	96
i	7	23	14	64
i	57	2	55	12
i	99	33	53	82
i	76	88	95	77
i	99	75	33	31
i	96	94	80	79
i	75	47	53	91
i	68	17	2	46
i	72	85	42	88
i	71	11	20	4
c
c
W	2540
c	end of file
