c	instance Type (null)
c
n	100
g	1
c	w1	v1	v2	v3
i	85	52	38	1
i	31	94	30	79
i	29	100	10	4
i	100	21	27	24
i	88	88	35	19
i	37	57	56	80
i	94	5	1	78
i	65	94	56	56
i	5	79	51	56
i	21	96	5	59
i	7	76	33	29
i	55	90	90	60
i	34	38	95	99
i	64	66	42	19
i	10	4	26	31
i	64	77	72	66
i	100	98	97	3
i	49	98	5	54
i	7	76	33	29
i	16	35	31	90
i	75	94	38	100
i	57	57	2	62
i	54	100	38	2
i	97	60	14	59
i	3	15	13	58
i	24	67	96	66
i	19	32	49	55
i	6	35	2	91
i	31	3	68	100
i	55	1	38	21
i	18	74	65	47
i	18	29	45	57
i	82	89	86	57
i	70	44	94	78
i	67	35	35	92
i	5	60	82	46
i	59	22	51	79
i	41	68	26	4
i	79	24	42	95
i	73	3	68	70
i	36	98	8	98
i	95	20	87	89
i	57	1	11	33
i	85	59	37	51
i	37	86	86	91
i	65	4	46	43
i	47	79	57	79
i	40	10	65	29
i	19	68	19	63
i	29	22	41	12
i	18	57	29	10
i	46	62	14	36
i	75	11	21	92
i	19	18	22	63
i	37	74	33	64
i	35	66	86	50
i	51	18	93	42
i	53	28	97	88
i	14	43	15	94
i	55	45	47	37
i	18	99	28	41
i	61	77	51	1
i	10	2	28	60
i	44	70	45	40
i	43	17	85	42
i	52	15	97	95
i	62	34	7	10
i	27	69	15	55
i	55	69	11	18
i	21	88	54	43
i	45	53	4	1
i	52	89	17	29
i	64	81	9	16
i	63	62	27	47
i	8	43	14	66
i	25	82	35	77
i	22	71	84	65
i	98	61	79	31
i	6	36	54	57
i	87	81	76	63
i	57	24	82	46
i	71	26	13	26
i	2	51	70	60
i	94	86	67	62
i	46	22	95	70
i	51	10	1	26
i	7	70	80	92
i	42	24	18	86
i	96	20	12	48
i	24	61	61	82
i	35	98	42	39
i	79	24	77	34
i	28	62	82	11
i	6	18	25	7
i	23	99	57	55
i	75	73	59	58
i	31	3	9	47
i	27	76	61	5
i	47	60	17	10
i	67	7	16	100
c
c
W	2289
c	end of file
