c	instance Type (null)
c
n	100
g	1
c	w1	v1	v2	v3
i	70	37	23	86
i	97	60	49	45
i	70	88	98	92
i	15	36	95	39
i	75	75	22	6
i	33	53	52	76
i	20	31	80	4
i	16	45	7	60
i	31	5	77	35
i	72	47	56	10
i	73	89	99	42
i	14	49	2	72
i	79	83	40	44
i	80	82	58	35
i	54	48	70	75
i	66	79	74	21
i	46	44	43	49
i	97	46	100	49
i	73	89	99	42
i	88	54	50	62
i	59	78	22	84
i	66	66	11	71
i	98	44	82	46
i	35	98	5	97
i	94	6	4	96
i	23	66	48	18
i	29	42	59	65
i	4	33	100	89
i	30	2	67	99
i	47	40	30	60
i	56	59	50	32
i	74	85	1	13
i	84	91	88	59
i	61	88	38	22
i	37	5	58	62
i	74	29	51	15
i	59	22	98	79
i	62	36	47	72
i	39	31	2	2
i	41	71	83	85
i	63	25	35	72
i	17	42	9	11
i	92	83	46	68
i	38	12	43	57
i	20	69	69	74
i	52	91	33	30
i	42	74	52	74
i	89	59	14	31
i	84	33	84	28
i	36	29	48	19
i	52	38	10	91
i	39	55	7	29
i	4	40	50	21
i	34	33	90	31
i	84	74	33	64
i	62	93	13	77
i	2	69	91	93
i	30	5	74	65
i	14	43	15	94
i	32	69	24	61
i	78	6	35	1
i	75	91	65	15
i	42	81	60	39
i	18	44	66	14
i	60	87	55	59
i	98	14	43	41
i	92	64	37	87
i	32	74	20	60
i	51	65	60	14
i	48	15	34	70
i	66	27	78	22
i	20	57	85	97
i	84	54	29	36
i	28	80	92	65
i	20	55	26	31
i	20	77	83	25
i	43	92	52	33
i	37	100	18	17
i	7	37	55	58
i	8	2	97	84
i	20	87	92	9
i	59	67	54	14
i	50	99	18	8
i	10	2	36	31
i	72	1	74	49
i	31	90	28	6
i	2	65	28	87
i	82	64	58	73
i	16	40	32	68
i	11	48	95	69
i	11	27	18	68
i	45	90	43	100
i	10	44	64	93
i	100	12	19	1
i	79	8	13	11
i	96	94	80	26
i	77	49	8	46
i	100	49	34	78
i	79	92	49	95
i	6	46	2	86
c
c
W	2505
c	end of file
