c	instance Type (null)
c
n	100
g	1
c	w1	v1	v2	v3
i	75	42	28	91
i	38	1	90	86
i	48	19	29	23
i	56	77	36	80
i	49	49	96	80
i	72	92	91	68
i	33	44	40	17
i	16	45	7	60
i	6	80	52	10
i	49	24	33	87
i	38	7	64	60
i	13	48	1	71
i	48	52	9	13
i	63	12	41	18
i	12	6	28	33
i	35	48	43	90
i	81	79	78	84
i	32	81	35	37
i	38	7	64	60
i	21	87	83	95
i	22	94	85	47
i	31	31	76	36
i	10	56	94	58
i	32	95	2	94
i	83	42	40	85
i	42	85	14	37
i	67	80	97	3
i	4	33	100	89
i	88	60	25	57
i	2	48	85	68
i	100	56	94	76
i	47	11	27	86
i	76	83	80	51
i	19	93	96	27
i	70	38	91	95
i	34	89	11	75
i	74	37	13	41
i	80	7	65	43
i	19	11	82	82
i	21	51	16	65
i	27	42	99	89
i	39	17	84	86
i	70	61	71	46
i	14	35	66	80
i	25	74	21	26
i	80	19	61	58
i	39	71	49	71
i	96	66	21	85
i	6	55	6	50
i	62	55	74	92
i	50	36	61	89
i	5	21	73	95
i	36	19	29	53
i	59	5	62	3
i	22	59	18	2
i	71	2	69	33
i	33	100	75	24
i	12	87	56	47
i	6	35	54	86
i	30	67	22	59
i	97	78	7	73
i	36	5	26	29
i	48	40	66	98
i	43	69	91	39
i	70	44	12	69
i	64	80	9	60
i	59	31	4	54
i	5	47	46	33
i	13	27	22	76
i	96	16	82	18
i	60	68	72	16
i	100	90	18	30
i	21	91	66	73
i	65	64	29	49
i	19	54	25	30
i	1	58	64	6
i	30	79	92	73
i	30	93	11	10
i	65	48	13	16
i	79	73	68	2
i	81	48	53	70
i	75	83	70	30
i	85	34	6	43
i	8	100	81	76
i	69	45	18	93
i	33	92	83	8
i	60	76	86	45
i	25	7	1	16
i	76	100	92	28
i	70	7	7	28
i	43	59	50	47
i	2	47	53	57
i	50	37	57	33
i	54	66	73	55
i	36	65	70	68
i	22	20	6	5
i	35	60	66	4
i	44	93	78	22
i	14	74	31	77
i	84	24	33	17
c
c
W	2247
c	end of file
