c	instance Type (null)
c
n	100
g	1
c	w1	v1	v2	v3
i	45	12	98	61
i	45	55	44	40
i	74	45	55	49
i	63	84	90	87
i	58	5	52	36
i	85	52	51	28
i	61	72	68	45
i	63	92	54	7
i	3	77	49	7
i	34	62	71	25
i	36	52	62	58
i	72	7	60	30
i	93	97	54	58
i	24	73	2	79
i	17	11	33	38
i	21	34	29	76
i	18	16	68	21
i	69	18	25	74
i	36	52	62	58
i	23	89	85	97
i	91	10	54	16
i	88	88	80	40
i	91	84	75	39
i	50	13	20	12
i	2	14	12	57
i	81	24	53	23
i	33	46	63	69
i	57	86	53	42
i	87	59	24	3
i	13	59	96	79
i	24	80	18	100
i	3	14	30	42
i	77	84	81	52
i	77	51	1	85
i	72	40	40	97
i	27	29	4	68
i	43	6	82	10
i	66	93	51	29
i	92	84	2	55
i	82	12	77	26
i	31	46	3	93
i	95	20	40	89
i	55	46	56	31
i	70	91	22	36
i	48	97	97	2
i	59	51	40	90
i	51	83	8	30
i	66	36	91	8
i	74	70	21	18
i	65	5	24	95
i	3	89	14	42
i	56	72	24	46
i	50	86	96	67
i	74	73	77	18
i	6	43	2	33
i	76	7	74	38
i	41	8	83	32
i	79	54	23	14
i	60	89	61	40
i	42	32	34	71
i	24	5	34	47
i	11	27	1	51
i	100	39	18	97
i	46	72	47	42
i	63	90	58	62
i	62	78	7	5
i	57	29	2	52
i	61	3	49	89
i	88	2	44	51
i	55	75	41	30
i	55	63	14	11
i	8	98	73	38
i	46	16	91	98
i	49	48	13	33
i	25	60	31	36
i	15	72	78	20
i	55	4	17	98
i	25	88	6	58
i	11	41	6	62
i	59	6	48	35
i	9	76	81	98
i	32	40	27	87
i	22	71	90	27
i	32	24	5	100
i	52	81	54	29
i	62	21	12	90
i	12	75	38	97
i	67	49	43	11
i	16	40	32	68
i	10	47	47	68
i	10	26	17	14
i	1	46	99	56
i	57	91	11	40
i	36	48	55	37
i	47	76	81	79
i	54	52	38	37
i	34	59	65	3
i	86	35	20	64
i	69	82	39	85
i	63	3	59	43
c
c
W	2442
c	end of file
