c	instance Type (null)
c
n	100
g	1
c	w1	v1	v2	v3
i	55	22	8	71
i	27	37	26	22
i	83	1	11	5
i	92	66	72	69
i	53	53	100	84
i	63	83	82	6
i	34	45	41	18
i	63	92	54	7
i	53	27	52	57
i	41	16	25	79
i	19	88	45	41
i	70	5	58	28
i	78	82	39	43
i	37	86	15	92
i	33	27	49	54
i	59	72	67	14
i	88	39	38	91
i	39	88	95	44
i	19	88	45	41
i	89	55	51	63
i	17	89	80	42
i	18	18	63	23
i	62	8	46	10
i	44	7	14	6
i	80	92	90	82
i	19	62	91	61
i	62	75	92	98
i	4	86	53	42
i	3	75	40	72
i	76	22	59	42
i	18	21	12	94
i	49	13	29	41
i	61	68	12	36
i	40	14	17	48
i	38	6	6	63
i	47	49	24	35
i	20	83	59	87
i	55	29	40	65
i	99	44	62	15
i	95	25	90	39
i	65	27	37	74
i	92	70	37	39
i	11	2	12	34
i	16	90	21	35
i	58	7	54	59
i	15	7	96	46
i	98	30	55	77
i	74	97	52	16
i	18	67	18	62
i	64	4	23	94
i	52	38	63	91
i	41	57	56	31
i	14	97	7	78
i	18	17	21	62
i	76	66	72	56
i	41	72	39	3
i	56	23	98	47
i	90	65	34	25
i	91	20	92	71
i	38	28	30	67
i	15	96	25	38
i	86	2	76	26
i	65	57	83	15
i	43	69	44	39
i	83	57	25	82
i	47	10	92	90
i	91	63	36	86
i	60	2	48	88
i	12	26	21	28
i	51	71	37	26
i	90	98	49	46
i	21	11	39	51
i	20	90	18	25
i	70	22	34	54
i	23	58	29	34
i	77	34	40	82
i	29	78	91	72
i	11	74	92	91
i	27	10	75	78
i	48	95	37	24
i	31	51	56	20
i	64	19	6	19
i	92	41	13	50
i	22	14	48	43
i	40	69	42	17
i	19	78	69	47
i	28	91	54	13
i	53	35	29	97
i	36	60	52	88
i	81	18	65	39
i	21	37	28	25
i	68	13	66	23
i	37	24	44	20
i	91	3	10	92
i	61	37	95	93
i	12	10	96	42
i	3	75	81	19
i	21	70	55	99
i	33	46	3	49
i	19	59	68	52
c
c
W	2416
c	end of file
