c	instance Type (null)
c
n	100
g	1
c	w1	v1	v2	v3
i	40	7	93	56
i	4	14	3	99
i	96	14	24	18
i	22	43	49	46
i	84	31	78	62
i	93	13	12	89
i	48	59	55	32
i	63	92	54	7
i	28	2	74	32
i	57	85	94	48
i	18	87	44	40
i	73	61	61	31
i	24	81	38	42
i	41	43	19	96
i	12	6	28	80
i	52	65	60	7
i	83	81	33	86
i	34	83	90	39
i	18	87	44	40
i	90	56	52	64
i	28	47	38	100
i	70	70	15	75
i	79	25	63	27
i	53	16	23	15
i	66	78	76	68
i	62	5	34	4
i	95	8	25	31
i	57	86	53	42
i	29	1	13	45
i	5	51	88	71
i	80	83	74	56
i	77	41	57	16
i	85	92	89	60
i	19	93	96	27
i	39	7	7	64
i	67	22	44	8
i	28	91	20	48
i	48	22	33	58
i	12	4	75	75
i	2	32	44	46
i	67	29	39	76
i	20	45	65	67
i	77	68	31	53
i	47	68	99	13
i	96	92	92	97
i	31	23	12	9
i	1	33	11	33
i	12	82	37	1
i	99	48	99	43
i	39	32	51	22
i	5	91	63	44
i	90	6	58	80
i	71	54	64	88
i	2	48	5	46
i	68	5	64	48
i	67	98	18	82
i	10	77	52	1
i	50	25	41	85
i	21	97	69	1
i	44	34	36	73
i	52	33	62	28
i	97	66	87	90
i	41	80	59	91
i	21	47	22	17
i	53	80	48	52
i	96	59	41	39
i	90	62	35	85
i	35	30	76	63
i	73	87	82	89
i	7	27	93	82
i	61	22	73	17
i	75	65	40	5
i	9	79	54	61
i	12	64	76	96
i	26	61	32	37
i	34	91	97	39
i	68	17	30	11
i	32	95	13	65
i	100	83	48	51
i	41	35	30	17
i	95	15	20	84
i	16	24	11	71
i	87	83	55	92
i	87	26	60	55
i	8	37	10	85
i	60	19	57	35
i	54	17	27	39
i	24	59	100	68
i	56	80	72	8
i	51	88	35	9
i	78	94	85	35
i	91	36	89	46
i	17	51	71	47
i	82	94	1	83
i	90	19	24	22
i	28	26	59	58
i	76	48	7	92
i	42	91	29	20
i	87	100	57	3
i	32	25	81	65
c
c
W	2541
c	end of file
