c	instance Type (null)
c
n	100
g	1
c	w1	v1	v2	v3
i	90	57	43	6
i	72	35	71	20
i	7	78	88	82
i	41	62	68	65
i	62	62	9	93
i	76	96	95	72
i	54	18	14	91
i	65	94	56	56
i	80	54	26	84
i	98	73	82	36
i	25	94	51	47
i	1	89	89	59
i	50	54	11	15
i	47	96	25	2
i	68	62	84	89
i	33	46	88	35
i	35	33	32	38
i	84	33	40	89
i	25	94	51	47
i	49	68	64	23
i	91	10	1	63
i	75	75	67	27
i	66	12	50	14
i	94	57	11	56
i	92	4	2	94
i	90	33	15	85
i	57	70	87	93
i	6	35	2	91
i	89	61	26	58
i	63	56	46	76
i	15	71	9	91
i	91	55	71	30
i	74	81	78	49
i	28	2	52	36
i	100	68	68	25
i	65	20	42	6
i	74	37	13	94
i	12	86	97	22
i	59	4	22	75
i	6	36	48	50
i	53	15	25	15
i	17	95	62	64
i	35	79	89	11
i	8	82	60	74
i	42	91	38	96
i	93	32	74	71
i	97	29	54	76
i	94	64	19	36
i	41	90	41	85
i	55	48	67	85
i	69	55	80	8
i	12	28	80	2
i	7	90	100	24
i	91	90	47	88
i	22	59	18	2
i	44	22	42	6
i	82	49	24	73
i	35	57	26	17
i	6	35	54	86
i	53	43	45	35
i	37	18	47	13
i	75	91	65	15
i	69	8	87	19
i	69	95	70	65
i	53	27	95	52
i	18	34	63	14
i	29	1	74	77
i	100	42	41	28
i	17	31	26	80
i	69	36	55	91
i	86	47	98	42
i	32	22	50	62
i	1	18	46	53
i	100	99	64	84
i	7	42	13	65
i	53	63	16	58
i	9	58	71	52
i	91	54	72	71
i	64	47	12	15
i	5	52	94	81
i	71	38	43	7
i	34	42	29	89
i	90	86	58	95
i	39	31	65	60
i	90	66	39	14
i	53	12	3	81
i	65	28	38	50
i	85	67	61	76
i	56	80	72	8
i	83	20	20	94
i	14	30	21	71
i	36	34	87	91
i	68	2	22	51
i	60	72	79	61
i	80	56	14	12
i	54	52	38	84
i	89	61	67	5
i	18	67	5	96
i	29	42	99	92
i	45	85	94	78
c
c
W	2704
c	end of file
